Ch1,
1, 5
2, 4
3, 3
4, 2
5, 1
6, 5
7, 4
8, 3
9, 2
10, 1
11, 5
12, 4
13, 3
14, 2
15, 1
16, 5
17, 4
18, 3
19, 2
20, 1
21, 5
22, 4
23, 3
24, 2
25, 1
Ch2,
26, 5
27, 4
28, 3
29, 2
30, 1
31, 5
32, 4
33, 3
34, 2
35, 1
36, 5
37, 4
38, 3
39, 2
40, 1
41, 5
42, 4
43, 3
44, 2
45, 1
46, 5
47, 4
48, 3
49, 2
50, 1
Ch3,
51, 5
52, 4
53, 3
54, 2
55, 1
56, 5
57, 4
58, 3
59, 2
60, 1
61, 5
62, 4
63, 3
64, 2
65, 1
66, 5
67, 4
68, 3
69, 2
70, 1
71, 5
72, 4
73, 3
74, 2
75, 1
Ch4,
76, 5
77, 4
78, 3
79, 2
80, 1
81, 5
82, 4
83, 3
84, 2
85, 1
86, 5
87, 4
88, 3
89, 2
90, 1
91, 5
92, 4
93, 3
94, 2
95, 1
96, 5
97, 4
98, 3
99, 2
100, 1
Ch5,
101, 5
102, 4
103, 3
104, 2
105, 1
106, 5
107, 4
108, 3
109, 2
110, 1
111, 5
112, 4
113, 3
114, 2
115, 1
116, 5
117, 4
118, 3
119, 2
120, 1
121, 5
122, 4
123, 3
124, 2
125, 1
Ch6,
126, 5
127, 4
128, 3
129, 2
130, 1
131, 5
132, 4
133, 3
134, 2
135, 1
136, 5
137, 4
138, 3
139, 2
140, 1
141, 5
142, 4
143, 3
144, 2
145, 1
146, 5
147, 4
148, 3
149, 2
150, 1
Ch7,
151, 5
152, 4
153, 3
154, 2
155, 1
156, 5
157, 4
158, 3
159, 2
160, 1
161, 5
162, 4
163, 3
164, 2
165, 1
166, 5
167, 4
168, 3
169, 2
170, 1
171, 5
172, 4
173, 3
174, 2
175, 1
Ch8,
176, 5
177, 4
178, 3
179, 2
180, 1
181, 5
182, 4
183, 3
184, 2
185, 1
186, 5
187, 4
188, 3
189, 2
190, 1
191, 5
192, 4
193, 3
194, 2
195, 1
196, 5
197, 4
198, 3
199, 2
200, 1
Ch9,
201, 5
202, 4
203, 3
204, 2
205, 1
206, 5
207, 4
208, 3
209, 2
210, 1
211, 5
212, 4
213, 3
214, 2
215, 1
216, 5
217, 4
218, 3
219, 2
220, 1
221, 5
222, 4
223, 3
224, 2
225, 1
Ch10,
226, 5
227, 4
228, 3
229, 2
230, 1
231, 5
232, 4
233, 3
234, 2
235, 1
236, 5
237, 4
238, 3
239, 2
240, 1
241, 5
242, 4
243, 3
244, 2
245, 1
246, 5
247, 4
248, 3
249, 2
250, 1
Ch11,
251, 5
252, 4
253, 3
254, 2
255, 1
256, 5
257, 4
258, 3
259, 2
260, 1
261, 5
262, 4
263, 3
264, 2
265, 1
266, 5
267, 4
268, 3
269, 2
270, 1
271, 5
272, 4
273, 3
274, 2
275, 1
Ch12,
276, 5
277, 4
278, 3
279, 2
280, 1
281, 5
282, 4
283, 3
284, 2
285, 1
286, 5
287, 4
288, 3
289, 2
290, 1
291, 5
292, 4
293, 3
294, 2
295, 1
296, 5
297, 4
298, 3
299, 2
300, 1
